Accuracy For QCs Used	Accuracy For Stds Used	Baseline Sub. Window	Calc Conc Used	Comment	End Mass	Expected RT	Experiment	Extraction Type	GroupName	Ion Ratio Tolerance	Ion Ratio Used	IS	Lower Lim Calc Conc	Max Tolerance LLOQ	Max Tolerance QC	Max Tolerance Stds	Min Peak Height	Min Peak Width	Name	Noise Percentage	Peak Splitting Factor	Period	Regression Type	Report Largest Peak	Smoothing Width	Start Mass	Units	Update RT	Upper Lim Calc Conc	Use Area
TRUE	TRUE	0.1	TRUE		133.0665613	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na133.0639	100	1	1	Linear	TRUE	3	133.0612387		0		TRUE
TRUE	TRUE	0.1	TRUE		155.0626012	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na155.0595	100	1	1	Linear	TRUE	3	155.0563988		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1905237	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na246.1856	100	1	1	Linear	TRUE	3	246.1806763		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1908237	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na246.1859	100	1	1	Linear	TRUE	3	246.1809763		0		TRUE
TRUE	TRUE	0.1	TRUE		264.2014839	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na264.1962	100	1	1	Linear	TRUE	3	264.1909161		0		TRUE
TRUE	TRUE	0.1	TRUE		58.0663613	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na58.0652	100	1	1	Linear	TRUE	3	58.0640387		0		TRUE
TRUE	TRUE	0.1	TRUE		107.051141	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na107.049	100	1	1	Linear	TRUE	3	107.046859		0		TRUE
TRUE	TRUE	0.1	TRUE		134.0700813	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na134.0674	100	1	1	Linear	TRUE	3	134.0647187		0		TRUE
TRUE	TRUE	0.1	TRUE		281.2285279	8.1198	1	Scan	HMDB0015646+NH4_A	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+NH4	100	1	1	Linear	TRUE	3	281.217279		0		TRUE
TRUE	TRUE	0.1	TRUE		79.05578108	8.1198	6	Scan	HMDB0015646+NH4	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+NH479.0542	100	1	1	Linear	TRUE	3	79.05261892		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1904237	8.1198	6	Scan	HMDB0015646+NH4	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+NH4246.1855	100	1	1	Linear	TRUE	3	246.1805763		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1902237	8.1198	6	Scan	HMDB0015646+NH4	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+NH4246.1853	100	1	1	Linear	TRUE	3	246.1803763		0		TRUE
TRUE	TRUE	0.1	TRUE		201.1313225	8.1198	6	Scan	HMDB0015646+NH4	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+NH4201.1273	100	1	1	Linear	TRUE	3	201.1232775		0		TRUE
TRUE	TRUE	0.1	TRUE		264.2009839	8.1198	6	Scan	HMDB0015646+NH4	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+NH4264.1957	100	1	1	Linear	TRUE	3	264.1904161		0		TRUE
TRUE	TRUE	0.1	TRUE		201.1314225	8.1198	6	Scan	HMDB0015646+NH4	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+NH4201.1274	100	1	1	Linear	TRUE	3	201.1233775		0		TRUE
TRUE	TRUE	0.1	TRUE		133.0674613	8.1198	6	Scan	HMDB0015646+NH4	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+NH4133.0648	100	1	1	Linear	TRUE	3	133.0621387		0		TRUE
TRUE	TRUE	0.1	TRUE		105.0720014	8.1198	6	Scan	HMDB0015646+NH4	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+NH4105.0699	100	1	1	Linear	TRUE	3	105.0677986		0		TRUE
